instant,date,season,year,month,hour,holiday,weekday,workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,total_rentals,time_group
63,2011-01-03,Spring,2011,1,17,0,1,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Evening Rush
64,2011-01-03,Spring,2011,1,18,0,1,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Evening Rush
65,2011-01-03,Spring,2011,1,19,0,1,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,Evening Rush
66,2011-01-03,Spring,2011,1,20,0,1,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Midnight
67,2011-01-03,Spring,2011,1,21,0,1,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,Midnight
68,2011-01-03,Spring,2011,1,22,0,1,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Midnight
69,2011-01-03,Spring,2011,1,23,0,1,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Midnight
70,2011-01-04,Spring,2011,1,0,0,2,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Midnight
71,2011-01-04,Spring,2011,1,1,0,2,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Midnight
72,2011-01-04,Spring,2011,1,2,0,2,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Midnight
73,2011-01-04,Spring,2011,1,4,0,2,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Midnight
74,2011-01-04,Spring,2011,1,5,0,2,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Midnight
75,2011-01-04,Spring,2011,1,6,0,2,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Morning Rush
76,2011-01-04,Spring,2011,1,7,0,2,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Morning Rush
77,2011-01-04,Spring,2011,1,8,0,2,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Morning Rush
78,2011-01-04,Spring,2011,1,9,0,2,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Morning Rush
79,2011-01-04,Spring,2011,1,10,0,2,1,Mist,0.16,0.1364,0.69,0.3284,5,37,42,Midday
80,2011-01-04,Spring,2011,1,11,0,2,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Midday
81,2011-01-04,Spring,2011,1,12,0,2,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Midday
82,2011-01-04,Spring,2011,1,13,0,2,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,Midday
83,2011-01-04,Spring,2011,1,14,0,2,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Midday
84,2011-01-04,Spring,2011,1,15,0,2,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Midday
85,2011-01-04,Spring,2011,1,16,0,2,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Evening Rush
86,2011-01-04,Spring,2011,1,17,0,2,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Evening Rush
87,2011-01-04,Spring,2011,1,18,0,2,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,Evening Rush
88,2011-01-04,Spring,2011,1,19,0,2,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Evening Rush
89,2011-01-04,Spring,2011,1,20,0,2,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Midnight
90,2011-01-04,Spring,2011,1,21,0,2,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,Midnight
91,2011-01-04,Spring,2011,1,22,0,2,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Midnight
92,2011-01-04,Spring,2011,1,23,0,2,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Midnight
93,2011-01-05,Spring,2011,1,0,0,3,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,Midnight
94,2011-01-05,Spring,2011,1,1,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,Midnight
95,2011-01-05,Spring,2011,1,2,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,Midnight
96,2011-01-05,Spring,2011,1,4,0,3,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Midnight
97,2011-01-05,Spring,2011,1,5,0,3,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Midnight
98,2011-01-05,Spring,2011,1,6,0,3,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,Morning Rush
99,2011-01-05,Spring,2011,1,7,0,3,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,Morning Rush
100,2011-01-05,Spring,2011,1,8,0,3,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Morning Rush
101,2011-01-05,Spring,2011,1,9,0,3,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,Morning Rush
102,2011-01-05,Spring,2011,1,10,0,3,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,Midday
103,2011-01-05,Spring,2011,1,11,0,3,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Midday
104,2011-01-05,Spring,2011,1,12,0,3,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Midday
105,2011-01-05,Spring,2011,1,13,0,3,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Midday
106,2011-01-05,Spring,2011,1,14,0,3,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,Midday
107,2011-01-05,Spring,2011,1,15,0,3,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,Midday
108,2011-01-05,Spring,2011,1,16,0,3,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Evening Rush
109,2011-01-05,Spring,2011,1,17,0,3,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,Evening Rush
110,2011-01-05,Spring,2011,1,18,0,3,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Evening Rush
111,2011-01-05,Spring,2011,1,19,0,3,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Evening Rush
112,2011-01-05,Spring,2011,1,20,0,3,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Midnight
113,2011-01-05,Spring,2011,1,21,0,3,1,Clear,0.2,0.197,0.51,0.194,3,40,43,Midnight
114,2011-01-05,Spring,2011,1,22,0,3,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,Midnight
115,2011-01-05,Spring,2011,1,23,0,3,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,Midnight
116,2011-01-06,Spring,2011,1,0,0,4,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,Midnight
117,2011-01-06,Spring,2011,1,1,0,4,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,Midnight
118,2011-01-06,Spring,2011,1,2,0,4,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,Midnight
119,2011-01-06,Spring,2011,1,4,0,4,1,Mist,0.16,0.197,0.64,0.0896,0,1,1,Midnight
120,2011-01-06,Spring,2011,1,5,0,4,1,Mist,0.14,0.1818,0.69,0.0896,0,4,4,Midnight
121,2011-01-06,Spring,2011,1,6,0,4,1,Mist,0.14,0.1667,0.63,0.1045,0,36,36,Morning Rush
122,2011-01-06,Spring,2011,1,7,0,4,1,Mist,0.16,0.2273,0.59,0.0,0,95,95,Morning Rush
123,2011-01-06,Spring,2011,1,8,0,4,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,Morning Rush
124,2011-01-06,Spring,2011,1,9,0,4,1,Mist,0.18,0.2424,0.51,0.0,6,116,122,Morning Rush
125,2011-01-06,Spring,2011,1,10,0,4,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,Midday
126,2011-01-06,Spring,2011,1,11,0,4,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Midday
127,2011-01-06,Spring,2011,1,12,0,4,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,Midday
128,2011-01-06,Spring,2011,1,13,0,4,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Midday
129,2011-01-06,Spring,2011,1,14,0,4,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Midday
130,2011-01-06,Spring,2011,1,15,0,4,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,Midday
131,2011-01-06,Spring,2011,1,16,0,4,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Evening Rush
132,2011-01-06,Spring,2011,1,17,0,4,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Evening Rush
133,2011-01-06,Spring,2011,1,18,0,4,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Evening Rush
134,2011-01-06,Spring,2011,1,19,0,4,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Evening Rush
135,2011-01-06,Spring,2011,1,20,0,4,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Midnight
136,2011-01-06,Spring,2011,1,21,0,4,1,Mist,0.22,0.2121,0.55,0.2239,0,48,48,Midnight
137,2011-01-06,Spring,2011,1,22,0,4,1,Mist,0.22,0.2121,0.51,0.2836,1,51,52,Midnight
138,2011-01-06,Spring,2011,1,23,0,4,1,Mist,0.2,0.197,0.59,0.194,4,19,23,Midnight
139,2011-01-07,Spring,2011,1,0,0,5,1,Mist,0.2,0.197,0.64,0.194,4,13,17,Midnight
140,2011-01-07,Spring,2011,1,1,0,5,1,Mist,0.2,0.197,0.69,0.2239,2,5,7,Midnight
141,2011-01-07,Spring,2011,1,2,0,5,1,Mist,0.2,0.197,0.69,0.2239,0,1,1,Midnight
142,2011-01-07,Spring,2011,1,4,0,5,1,Mist,0.2,0.2121,0.69,0.1343,0,1,1,Midnight
143,2011-01-07,Spring,2011,1,5,0,5,1,Light Rain,0.22,0.2727,0.55,0.0,0,5,5,Midnight
144,2011-01-07,Spring,2011,1,6,0,5,1,Mist,0.2,0.2576,0.69,0.0,8,26,34,Morning Rush
145,2011-01-07,Spring,2011,1,7,0,5,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Morning Rush
146,2011-01-07,Spring,2011,1,8,0,5,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,Morning Rush
147,2011-01-07,Spring,2011,1,9,0,5,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Morning Rush
148,2011-01-07,Spring,2011,1,10,0,5,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,Midday
149,2011-01-07,Spring,2011,1,11,0,5,1,Mist,0.2,0.197,0.4,0.2239,19,48,67,Midday
150,2011-01-07,Spring,2011,1,12,0,5,1,Mist,0.2,0.197,0.37,0.2537,9,50,59,Midday
151,2011-01-07,Spring,2011,1,13,0,5,1,Mist,0.2,0.1818,0.37,0.2836,9,64,73,Midday
152,2011-01-07,Spring,2011,1,14,0,5,1,Mist,0.2,0.197,0.4,0.2537,7,43,50,Midday
153,2011-01-07,Spring,2011,1,15,0,5,1,Mist,0.2,0.2121,0.37,0.1642,9,63,72,Midday
154,2011-01-07,Spring,2011,1,16,0,5,1,Mist,0.2,0.2121,0.37,0.1642,5,82,87,Evening Rush
155,2011-01-07,Spring,2011,1,17,0,5,1,Mist,0.2,0.2576,0.37,0.0,9,178,187,Evening Rush
156,2011-01-07,Spring,2011,1,18,0,5,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Evening Rush
157,2011-01-07,Spring,2011,1,19,0,5,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,Evening Rush
158,2011-01-07,Spring,2011,1,20,0,5,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Midnight
159,2011-01-07,Spring,2011,1,21,0,5,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,Midnight
160,2011-01-07,Spring,2011,1,22,0,5,1,Mist,0.18,0.197,0.43,0.1642,2,34,36,Midnight
161,2011-01-07,Spring,2011,1,23,0,5,1,Mist,0.18,0.197,0.51,0.1642,1,14,15,Midnight
162,2011-01-08,Spring,2011,1,0,0,6,0,Mist,0.18,0.197,0.51,0.1642,1,24,25,Midnight
163,2011-01-08,Spring,2011,1,1,0,6,0,Mist,0.18,0.2121,0.55,0.0896,1,15,16,Midnight
164,2011-01-08,Spring,2011,1,2,0,6,0,Mist,0.18,0.2424,0.55,0.0,3,13,16,Midnight
165,2011-01-08,Spring,2011,1,3,0,6,0,Light Rain,0.18,0.197,0.55,0.1642,0,7,7,Midnight
166,2011-01-08,Spring,2011,1,4,0,6,0,Light Rain,0.18,0.197,0.55,0.1642,0,1,1,Midnight
167,2011-01-08,Spring,2011,1,5,0,6,0,Mist,0.16,0.1667,0.74,0.1642,0,5,5,Midnight
168,2011-01-08,Spring,2011,1,6,0,6,0,Mist,0.16,0.1667,0.74,0.1642,0,2,2,Morning Rush
169,2011-01-08,Spring,2011,1,7,0,6,0,Mist,0.16,0.1818,0.74,0.1045,1,8,9,Morning Rush
170,2011-01-08,Spring,2011,1,8,0,6,0,Light Rain,0.16,0.1818,0.93,0.1045,0,15,15,Morning Rush
171,2011-01-08,Spring,2011,1,9,0,6,0,Light Rain,0.16,0.1818,0.93,0.1045,0,20,20,Morning Rush
172,2011-01-08,Spring,2011,1,10,0,6,0,Mist,0.18,0.197,0.8,0.1642,5,56,61,Midday
173,2011-01-08,Spring,2011,1,11,0,6,0,Mist,0.2,0.1818,0.69,0.3881,2,60,62,Midday
174,2011-01-08,Spring,2011,1,12,0,6,0,Mist,0.2,0.1818,0.59,0.3582,8,90,98,Midday
175,2011-01-08,Spring,2011,1,13,0,6,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Midday
176,2011-01-08,Spring,2011,1,14,0,6,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Midday
177,2011-01-08,Spring,2011,1,15,0,6,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Midday
178,2011-01-08,Spring,2011,1,16,0,6,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Evening Rush
179,2011-01-08,Spring,2011,1,17,0,6,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Evening Rush
180,2011-01-08,Spring,2011,1,18,0,6,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Evening Rush
181,2011-01-08,Spring,2011,1,19,0,6,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Evening Rush
182,2011-01-08,Spring,2011,1,20,0,6,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Midnight
183,2011-01-08,Spring,2011,1,21,0,6,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Midnight
184,2011-01-08,Spring,2011,1,22,0,6,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Midnight
185,2011-01-08,Spring,2011,1,23,0,6,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Midnight
186,2011-01-09,Spring,2011,1,0,0,0,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Midnight
187,2011-01-09,Spring,2011,1,1,0,0,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Midnight
188,2011-01-09,Spring,2011,1,2,0,0,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Midnight
189,2011-01-09,Spring,2011,1,3,0,0,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Midnight
190,2011-01-09,Spring,2011,1,4,0,0,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Midnight
191,2011-01-09,Spring,2011,1,5,0,0,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Midnight
192,2011-01-09,Spring,2011,1,6,0,0,0,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Morning Rush
193,2011-01-09,Spring,2011,1,7,0,0,0,Clear,0.08,0.0909,0.53,0.194,1,5,6,Morning Rush
194,2011-01-09,Spring,2011,1,8,0,0,0,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Morning Rush
195,2011-01-09,Spring,2011,1,9,0,0,0,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Morning Rush
196,2011-01-09,Spring,2011,1,10,0,0,0,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Midday
197,2011-01-09,Spring,2011,1,11,0,0,0,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Midday
198,2011-01-09,Spring,2011,1,12,0,0,0,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Midday
199,2011-01-09,Spring,2011,1,13,0,0,0,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Midday
200,2011-01-09,Spring,2011,1,14,0,0,0,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Midday
201,2011-01-09,Spring,2011,1,15,0,0,0,Clear,0.22,0.197,0.35,0.3582,5,77,82,Midday
202,2011-01-09,Spring,2011,1,16,0,0,0,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Evening Rush
203,2011-01-09,Spring,2011,1,17,0,0,0,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Evening Rush
204,2011-01-09,Spring,2011,1,18,0,0,0,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Evening Rush
205,2011-01-09,Spring,2011,1,19,0,0,0,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Evening Rush
206,2011-01-09,Spring,2011,1,20,0,0,0,Clear,0.14,0.1212,0.46,0.2537,0,38,38,Midnight
207,2011-01-09,Spring,2011,1,21,0,0,0,Clear,0.14,0.1061,0.46,0.4179,1,19,20,Midnight
208,2011-01-09,Spring,2011,1,22,0,0,0,Clear,0.14,0.1212,0.46,0.2985,5,10,15,Midnight
209,2011-01-09,Spring,2011,1,23,0,0,0,Clear,0.12,0.1364,0.5,0.194,0,6,6,Midnight
210,2011-01-10,Spring,2011,1,0,0,1,1,Clear,0.12,0.1212,0.5,0.2836,2,3,5,Midnight
211,2011-01-10,Spring,2011,1,1,0,1,1,Clear,0.12,0.1212,0.5,0.2836,1,0,1,Midnight
212,2011-01-10,Spring,2011,1,2,0,1,1,Clear,0.12,0.1212,0.5,0.2239,0,3,3,Midnight
213,2011-01-10,Spring,2011,1,3,0,1,1,Clear,0.12,0.1212,0.5,0.2239,0,1,1,Midnight
214,2011-01-10,Spring,2011,1,4,0,1,1,Clear,0.1,0.1212,0.54,0.1343,1,2,3,Midnight
215,2011-01-10,Spring,2011,1,5,0,1,1,Clear,0.1,0.1061,0.54,0.2537,0,3,3,Midnight
216,2011-01-10,Spring,2011,1,6,0,1,1,Clear,0.12,0.1212,0.5,0.2836,0,31,31,Morning Rush
217,2011-01-10,Spring,2011,1,7,0,1,1,Clear,0.12,0.1212,0.5,0.2239,2,75,77,Morning Rush
218,2011-01-10,Spring,2011,1,8,0,1,1,Mist,0.12,0.1212,0.5,0.2836,4,184,188,Morning Rush
219,2011-01-10,Spring,2011,1,9,0,1,1,Mist,0.14,0.1212,0.5,0.2537,2,92,94,Morning Rush
220,2011-01-10,Spring,2011,1,10,0,1,1,Mist,0.14,0.1212,0.5,0.2985,0,31,31,Midday
221,2011-01-10,Spring,2011,1,11,0,1,1,Mist,0.16,0.1364,0.47,0.2836,2,28,30,Midday
222,2011-01-10,Spring,2011,1,12,0,1,1,Mist,0.2,0.1818,0.4,0.2836,5,47,52,Midday
223,2011-01-10,Spring,2011,1,13,0,1,1,Mist,0.2,0.1818,0.4,0.2836,4,50,54,Midday
224,2011-01-10,Spring,2011,1,14,0,1,1,Mist,0.2,0.197,0.4,0.2239,0,47,47,Midday
225,2011-01-10,Spring,2011,1,15,0,1,1,Mist,0.2,0.197,0.4,0.2239,2,43,45,Midday
226,2011-01-10,Spring,2011,1,16,0,1,1,Clear,0.2,0.2121,0.4,0.1343,4,70,74,Evening Rush
227,2011-01-10,Spring,2011,1,17,0,1,1,Clear,0.2,0.2273,0.4,0.1045,4,174,178,Evening Rush
228,2011-01-10,Spring,2011,1,18,0,1,1,Clear,0.2,0.197,0.4,0.2239,1,154,155,Evening Rush
229,2011-01-10,Spring,2011,1,19,0,1,1,Clear,0.16,0.1667,0.47,0.1642,3,92,95,Evening Rush
230,2011-01-10,Spring,2011,1,20,0,1,1,Clear,0.16,0.1667,0.5,0.1642,1,73,74,Midnight
231,2011-01-10,Spring,2011,1,21,0,1,1,Clear,0.14,0.1364,0.59,0.194,1,37,38,Midnight
232,2011-01-10,Spring,2011,1,22,0,1,1,Clear,0.14,0.1515,0.59,0.1642,2,22,24,Midnight
233,2011-01-10,Spring,2011,1,23,0,1,1,Clear,0.14,0.1515,0.59,0.1642,0,18,18,Midnight
234,2011-01-11,Spring,2011,1,0,0,2,1,Clear,0.14,0.1667,0.59,0.1045,2,10,12,Midnight
